target,agent_model,head,eligible_same_predictor_occurrences,pair_folds_in_scope,excluded_below_decision_minimum,excluded_prior_degenerate,median_corrected_gap,same_sign_fraction,bootstrap_95_ci,jackknife_min_abs_median,task_half_A,task_half_B,threshold_robustness,final_target_status
gpt-5-mini / SUCCESS,gpt-5-mini,success,9,9,0,0,0.1377462284504496,1.0 (9/9),"[0.11681530181196477, 0.15944975771607114]",0.13617040153017057,0.11767970623031776,0.14894173870245364,4/4 evaluable thresholds robust (0.9/0.925/0.95/0.975),True (ROBUST)
claude-opus-4.6 / FAILURE,claude-opus-4.6,failure,8,9,1,0,0.11073740121815578,1.0 (8/8),"[0.05100413519648092, 0.14856491377866127]",0.11039703482593621,0.08688594138784889,0.11354561216502507,3/3 evaluable thresholds robust (0.9/0.925/0.95); 0.975 NOT_EVALUABLE (denominator),True (ROBUST)
