target_scope,target_agent,head,threshold,threshold_label,trajectories,decided_total,decision_coverage,head_decisions,head_coverage,empirical_precision,mean_decision_step,median_decision_step,mean_saved_steps,total_saved_steps
TARGET_1,gpt-5-mini,success,0.9,T1,4500,3140,0.6977777777777778,2655,0.59,0.7725047080979285,10.374387947269303,10.0,8.662900188323917,23000
TARGET_2,claude-opus-4.6,failure,0.9,T1,4500,3035,0.6744444444444444,587,0.13044444444444445,0.8023850085178875,12.567291311754685,10.0,32.275979557069846,18946
TARGET_1,gpt-5-mini,success,0.925,T2,4500,2776,0.6168888888888889,2406,0.5346666666666666,0.7772236076475478,10.43474646716542,10.0,8.57356608478803,20628
TARGET_2,claude-opus-4.6,failure,0.925,T2,4500,2698,0.5995555555555555,472,0.10488888888888889,0.8135593220338984,13.55084745762712,10.0,32.33050847457627,15260
TARGET_1,gpt-5-mini,success,0.95,T3,4500,2068,0.45955555555555555,1861,0.41355555555555557,0.7770016120365395,10.763030628694251,10.0,8.432025792584632,15692
TARGET_2,claude-opus-4.6,failure,0.95,T3,4500,2053,0.4562222222222222,314,0.06977777777777777,0.8503184713375797,13.818471337579618,10.0,32.9171974522293,10336
TARGET_1,gpt-5-mini,success,0.975,T4,4500,627,0.13933333333333334,574,0.12755555555555556,0.7770034843205574,11.012195121951219,10.0,8.731707317073171,5012
TARGET_2,claude-opus-4.6,failure,0.975,T4,4500,609,0.13533333333333333,97,0.021555555555555557,0.8350515463917526,18.969072164948454,14.0,36.25773195876289,3517
